"id","OUTLET_NAME","address","STREET_STATE","STREET_PCODE","STREET_SUBURB","OPEN_HOUR_M","CLOSE_HOUR_M","WEEKENDS","EVENINGS"
14,"Presbyterian Aged Care - Illawarra Home Care"," North Wollongong 2500 NSW","NSW",2500,"North Wollongong","0600","2030","TRUE","TRUE"
15,"Multicultural Aged Care"," CAMPSIE 2194 NSW","NSW",2194,"CAMPSIE","0900","1800","TRUE","TRUE"
16,"Presbyterian Aged Care South West Sydney Home Care"," BOWRAL 2576 NSW","NSW",2576,"BOWRAL","0600","2030","TRUE","TRUE"
17,"Avivo: Live Life Inc - Coral Coast"," GERALDTON 6530 WA","WA",6530,"GERALDTON","0600","2030","TRUE","TRUE"
18,"CASS Home Care Package (Chinese, Indonesian, Vietnamese) - Southern Sydney"," CAMPSIE 2194 NSW","NSW",2194,"CAMPSIE","0800","1800","TRUE","TRUE"
19,"IAC HOME CARE"," Marangaroo 6064 WA","WA",6064,"Marangaroo","0600","2030","TRUE","TRUE"
20,"Right at Home RightCare"," WOOLLOONGABBA 4102 QLD","QLD",4102,"WOOLLOONGABBA","0500","2030","TRUE","TRUE"
21,"ACCA Chinese Home Care Packages - Eastern Sydney"," SURRY HILLS 2010 NSW","NSW",2010,"SURRY HILLS","0700","1800","TRUE","TRUE"
22,"ACCA Chinese Home Care Packages Northern Sydney"," CHATSWOOD 2067 NSW","NSW",2067,"CHATSWOOD","0700","1800","TRUE","TRUE"
23,"ACH Group Home Care - Cambodian Community SA"," MILE END 5031 SA","SA",5031,"MILE END","0700","2000","TRUE","TRUE"
27,"CASS Home Care Package (Korean, mainstream) - Southern Sydney"," CAMPSIE 2194 NSW","NSW",2194,"CAMPSIE","0800","1800","TRUE","TRUE"
28,"CASS Home Care Package (Korean, mainstream) - Western Sydney"," CAMPSIE 2194 NSW","NSW",2194,"CAMPSIE","0800","1800","TRUE","TRUE"
29,"Home Instead Senior Care Bayside and Logan"," BIRKDALE 4159 QLD","QLD",4159,"BIRKDALE","0500","2030","TRUE","TRUE"
30,"Best In Care Australia"," BUDERIM 4556 QLD","QLD",4556,"BUDERIM","0500","2030","TRUE","TRUE"
31,"Aged Care - Your Life Your Way - Illawarra"," Wollongong 2500 NSW","NSW",2500,"Wollongong","0600","2030","TRUE","TRUE"
33,"PresCare Community Care - Strathpine"," BRENDALE 4500 QLD","QLD",4500,"BRENDALE","0600","1800","TRUE","TRUE"
36,"PresCare Community Care Gold Coast"," BUNDALL 4217 QLD","QLD",4217,"BUNDALL","0600","1800","TRUE","TRUE"
39,"Australian Unity Home Care Service - Armidale"," Armidale 2350 NSW","NSW",2350,"Armidale","0600","2000","TRUE","TRUE"
40,"Australian Unity Home Care Service - Ballina"," Ballina 2478 NSW","NSW",2478,"Ballina","0600","2000","TRUE","TRUE"
41,"Australian Unity Home Care Service - Dapto"," DAPTO 2530 NSW","NSW",2530,"DAPTO","0600","2000","TRUE","TRUE"
42,"Australian Unity Home Care Service - Corowa"," COROWA 2646 NSW","NSW",2646,"COROWA","0600","2000","TRUE","TRUE"
43,"Australian Unity Home Care Service - Dubbo"," Dubbo 2830 NSW","NSW",2830,"Dubbo","0600","2000","TRUE","TRUE"
44,"Australian Unity Home Care Service - Deniliquin"," DENILIQUIN 2710 NSW","NSW",2710,"DENILIQUIN","0600","2000","TRUE","TRUE"
45,"Australian Unity Home Care Service - Epping"," HORNSBY 2077 NSW","NSW",2077,"HORNSBY","0600","2000","TRUE","TRUE"
46,"Australian Unity Home Care Service - Aboriginal Home Care - Glen Innes"," GLEN INNES 2370 NSW","NSW",2370,"GLEN INNES","0600","2000","TRUE","TRUE"
47,"Australian Unity Home Care Service - Hawkesbury"," PENRITH 2750 NSW","NSW",2750,"PENRITH","0600","2000","TRUE","TRUE"
48,"Australian Unity Home Care Service - Gosford/Wyong"," GOSFORD 2250 NSW","NSW",2250,"GOSFORD","0600","2000","TRUE","TRUE"
49,"Australian Unity Home Care Service - Griffith"," Griffith 2680 NSW","NSW",2680,"Griffith","0600","2000","TRUE","TRUE"
50,"Australian Unity Home Care Service - St George"," SUTHERLAND 2232 NSW","NSW",2232,"SUTHERLAND","0600","2000","TRUE","TRUE"
51,"White Oak Home Care - East Metro"," JOONDALUP 6027 WA","WA",6027,"JOONDALUP","0600","2000","TRUE","TRUE"
52,"Australian Unity Home Care Service - Lightning Ridge"," LIGHTNING RIDGE 2834 NSW","NSW",2834,"LIGHTNING RIDGE","0600","2000","TRUE","TRUE"
53,"Australian Unity Home Care Service - Kempsey"," WEST KEMPSEY 2440 NSW","NSW",2440,"WEST KEMPSEY","0600","2000","TRUE","TRUE"
54,"Australian Unity Home Care Service - Lismore"," CASINO 2470 NSW","NSW",2470,"CASINO","0600","2000","TRUE","TRUE"
55,"Australian Unity Home Care Service - Leeton"," LEETON 2705 ACT","ACT",2705,"LEETON","0600","2000","TRUE","TRUE"
57,"Australian Unity Home Care Service - Lawson/Blue Mountains"," PENRITH 2750 NSW","NSW",2750,"PENRITH","0600","2000","TRUE","TRUE"
58,"Australian Unity Home Care Service - Maitland"," EAST MAITLAND 2323 NSW","NSW",2323,"EAST MAITLAND","0600","2000","TRUE","TRUE"
59,"9301 0299 White Oak Home Care"," JOONDALUP 6027 WA","WA",6027,"JOONDALUP","0600","2000","TRUE","TRUE"
60,"Australian Unity Home Care Service - Aboriginal Home Care - Parkes"," PARKES 2870 NSW","NSW",2870,"PARKES","0600","2000","TRUE","TRUE"
61,"Australian Unity Home Care Service - Penrith"," PENRITH 2750 NSW","NSW",2750,"PENRITH","0600","2000","TRUE","TRUE"
62,"Australian Unity Home Care Service - Queanbeyan"," QUEANBEYAN 2620 NSW","NSW",2620,"QUEANBEYAN","0600","2000","TRUE","TRUE"
63,"Australian Unity Home Care Service - Port Macquarie"," PORT MACQUARIE 2444 NSW","NSW",2444,"PORT MACQUARIE","0600","2000","TRUE","TRUE"
64,"Australian Unity Home Care Service - Walcha"," Walcha 2354 NSW","NSW",2354,"Walcha","0600","2000","TRUE","TRUE"
65,"Australian Unity Home Care Service - Aboriginal Home Care - Dareton"," Dareton 2717 NSW","NSW",2717,"Dareton","0600","2000","TRUE","TRUE"
66,"Australian Unity Home Care Service - Tamworth"," TAMWORTH 2340 NSW","NSW",2340,"TAMWORTH","0600","2000","TRUE","TRUE"
67,"Australian Unity Home Care Service - Richmond Valley"," CASINO 2470 NSW","NSW",2470,"CASINO","0600","2000","TRUE","TRUE"
68,"Australian Unity Home Care Service - Dee Why"," DEE WHY 2099 NSW","NSW",2099,"DEE WHY","0600","2000","TRUE","TRUE"
69,"Australian Unity Home Care Service - Wagga Wagga"," WAGGA WAGGA 2650 NSW","NSW",2650,"WAGGA WAGGA","0600","2000","TRUE","TRUE"
70,"Australian Unity Home Care Service - Tweed Heads"," COOLANGATTA 4225 QLD","QLD",4225,"COOLANGATTA","0600","2000","TRUE","TRUE"
71,"Australian Unity Home Care Service - Grafton"," MACLEAN 2463 NSW","NSW",2463,"MACLEAN","0600","2000","TRUE","TRUE"
72,"Hastings District Respite Care"," PORT MACQUARIE 2444 NSW","NSW",2444,"PORT MACQUARIE",NaN,NaN,"TRUE","TRUE"
73,"Kare Seniors -Home Care Package Level 1,2,3,4 ( Less Fees Means More Services )"," HOPPERS CROSSING 3029 VIC","VIC",3029,"HOPPERS CROSSING","0900","1700","TRUE","TRUE"
74,"MultiLink Community Care"," LOGAN CENTRAL 4114 QLD","QLD",4114,"LOGAN CENTRAL","0600","1900","TRUE","TRUE"
75,"Parkglen Home Care Services"," KEYSBOROUGH 3173 VIC","VIC",3173,"KEYSBOROUGH","0500","2030","TRUE","TRUE"
76,"Nandebri Home Nursing Pty Ltd"," NARRABRI 2390 NSW","NSW",2390,"NARRABRI","0700","1730","TRUE","TRUE"
77,"Auspire Care - QLD"," LOGAN CENTRAL 4114 QLD","QLD",4114,"LOGAN CENTRAL","0500","2030","TRUE","TRUE"
78,"IWAA - Sydney"," SPRINGWOOD 4127 QLD","QLD",4127,"SPRINGWOOD",NaN,NaN,"TRUE","TRUE"
79,"Gabeth Pty Ltd"," TRINITY GARDENS 5068 SA","SA",5068,"TRINITY GARDENS","0500","2030","TRUE","TRUE"
80,"OzPol Services - Brisbane South"," BRISBANE CITY 4000 QLD","QLD",4000,"BRISBANE CITY","0600","2000","TRUE","TRUE"
81,"All Aged Care - Cabool"," BRISBANE CITY 4000 QLD","QLD",4000,"BRISBANE CITY","0600","2000","TRUE","TRUE"
82,"1300 303 770 - Australian Home Care Services - VIC"," CAMBERWELL 3124 VIC","VIC",3124,"CAMBERWELL","0700","2030","TRUE","TRUE"
86,"1300 303 770 - Australian Home Care Services - NSW"," ALEXANDRIA 2015 NSW","NSW",2015,"ALEXANDRIA","0700","2030","TRUE","TRUE"
92,"Carers Link"," WYNNUM 4178 QLD","QLD",4178,"WYNNUM","0830","1700","TRUE","TRUE"
93,"Greek Home Care Packages"," ADELAIDE 5000 SA","SA",5000,"ADELAIDE","0700","1900","TRUE","TRUE"
94,"365 Care"," GIRRAWEEN 2145 NSW","NSW",2145,"GIRRAWEEN","0500","2030","TRUE","TRUE"
96,"Umbrella North Metro Services"," BELMONT 6104 WA","WA",6104,"BELMONT","0800","1700","TRUE","TRUE"
97,"Umbrella South East Metro Services"," BELMONT 6104 WA","WA",6104,"BELMONT","0800","1700","TRUE","TRUE"
98,"Gippsland Care Services"," WARRAGUL 3820 VIC","VIC",3820,"WARRAGUL","0700","2000","TRUE","TRUE"
99,"Just-For-U"," OAKLEIGH 3166 VIC","VIC",3166,"OAKLEIGH","0500","2030","TRUE","TRUE"
100,"Helping Hands Community Care Services Pty Ltd (Slacks Creek)"," SLACKS CREEK 4127 QLD","QLD",4127,"SLACKS CREEK","0900","1700","TRUE","TRUE"
101,"Catholic Healthcare Community Services South West Sydney (formerly Catholic Community Services)"," REVESBY 2212 NSW","NSW",2212,"REVESBY","0600","1900","TRUE","TRUE"
102,"Just Better Care Gold Coast"," VARSITY LAKES 4227 QLD","QLD",4227,"VARSITY LAKES","0800","1630","TRUE","TRUE"
108,"Kalkarindji - Daguragu Community Aged and Disability Service"," KALKARINDJI 852 NT","NT",852,"KALKARINDJI","0800","1630","TRUE","FALSE"
113,"Alliance Health - Inner West Sydney Services"," SURRY HILLS 2010 NSW","NSW",2010,"SURRY HILLS","0700","2030","TRUE","TRUE"
114,"Alliance Health - South Eastern Sydney Services"," SURRY HILLS 2010 NSW","NSW",2010,"SURRY HILLS","0700","2030","TRUE","TRUE"
115,"Blue Care Springwood Community Care"," SPRINGWOOD 4127 QLD","QLD",4127,"SPRINGWOOD","0600","1800","TRUE","TRUE"
116,"NEW HOME AGED CARE"," EPPING 2121 NSW","NSW",2121,"EPPING","0630","2030","TRUE","TRUE"
117,"Focused Health Care Pty Ltd - Brisbane North"," BRACKEN RIDGE 4017 QLD","QLD",4017,"BRACKEN RIDGE","0500","2030","TRUE","TRUE"
118,"Omni-Care HCP"," PRESTON 3072 VIC","VIC",3072,"PRESTON","0600","2030","TRUE","TRUE"
119,"TTHA at Home (Tabulam and Templer Community Care)"," BAYSWATER 3153 VIC","VIC",3153,"BAYSWATER","0900","1700","TRUE","TRUE"
120,"Just Better Care South West NSW"," ASHMONT 2650 NSW","NSW",2650,"ASHMONT","0500","2030","TRUE","TRUE"
121,"Focused Health Care Pty Ltd - Brisbane South"," BRACKEN RIDGE 4017 QLD","QLD",4017,"BRACKEN RIDGE","0500","2030","TRUE","TRUE"
122,"Residential Gardens"," ROOTY HILL 2766 NSW","NSW",2766,"ROOTY HILL","0600","2030","TRUE","TRUE"
123,"Focused Health Care Pty Ltd - Sunshine Coast"," BIRTINYA 4575 QLD","QLD",4575,"BIRTINYA","0500","2030","TRUE","TRUE"
124,"Community Home Care Busselton and Margaret River"," WEST BUSSELTON 6280 WA","WA",6280,"WEST BUSSELTON","0600","2000","TRUE","TRUE"
125,"OzPol Services - Cabool"," BRISBANE CITY 4000 QLD","QLD",4000,"BRISBANE CITY","0600","2000","TRUE","TRUE"
126,"Just Better Care Ryde"," NEWINGTON 2127 NSW","NSW",2127,"NEWINGTON","0600","2030","TRUE","TRUE"
127,"Just Better Care Parramatta"," NEWINGTON 2127 NSW","NSW",2127,"NEWINGTON","0600","2030","TRUE","TRUE"
128,"Just Better Care Bankstown"," NEWINGTON 2127 NSW","NSW",2127,"NEWINGTON","0600","2030","TRUE","TRUE"
129,"Stirling Community Care (HCP)"," STIRLING 6021 WA","WA",6021,"STIRLING","0700","2000","TRUE","TRUE"
130,"Community Gateway - Shoalhaven"," Nowra 2541 NSW","NSW",2541,"Nowra","0600","1200","TRUE","TRUE"
131,"Morcare Services"," WANTIRNA 3152 VIC","VIC",3152,"WANTIRNA","0500","2030","TRUE","TRUE"
132,"SummitCare HomeCare"," BAULKHAM HILLS 2153 NSW","NSW",2153,"BAULKHAM HILLS","0500","2030","TRUE","TRUE"
133,"Aged Care - Your Life Your Way - Shoalhaven"," Wollongong 2500 NSW","NSW",2500,"Wollongong","0600","2030","TRUE","TRUE"
134,"Just Better Care Hawkesbury Nepean"," FREEMANS REACH 2756 NSW","NSW",2756,"FREEMANS REACH","0600","2030","TRUE","TRUE"
135,"Just Better Care Blue Mountains"," FREEMANS REACH 2756 NSW","NSW",2756,"FREEMANS REACH","0600","0630","TRUE","TRUE"
136,"Newcastle and District Nursing Service"," SHORTLAND 2307 NSW","NSW",2307,"SHORTLAND","0600","1800","TRUE","TRUE"
137,"Just Better Care Brisbane East"," SLACKS CREEK 4127 QLD","QLD",4127,"SLACKS CREEK","0800","1630","TRUE","TRUE"
138,"Heather Hill Home Care"," TOOWONG 4066 QLD","QLD",4066,"TOOWONG","0500","2030","TRUE","TRUE"
139,"Comfort Keepers"," OSBORNE PARK 6017 WA","WA",6017,"OSBORNE PARK","0600","2000","TRUE","TRUE"
140,"City of Stirling - Stirling Community Care (HCP)"," STIRLING 6021 WA","WA",6021,"STIRLING","0700","2000","TRUE","TRUE"
141,"Murray Mallee Aged Care Group Inc. - Home Care Packages"," MURRAY BRIDGE 5253 SA","SA",5253,"MURRAY BRIDGE","0600","2000","TRUE","TRUE"
142,"All Aged Care - Logan River Valley"," BRISBANE CITY 4000 QLD","QLD",4000,"BRISBANE CITY","0600","2000","TRUE","TRUE"
143,"Harmony Homecare"," HEIDELBERG WEST 3081 VIC","VIC",3081,"HEIDELBERG WEST","0500","2030","TRUE","TRUE"
144,"Hills Nursing"," Castle Hill 2154 NSW","NSW",2154,"Castle Hill","0600","2030","TRUE","TRUE"
145,"Continuum Care"," GOLDEN GROVE 5125 SA","SA",5125,"GOLDEN GROVE","0500","2030","TRUE","TRUE"
146,"Community Vision Incorporated"," JOONDALUP 6027 WA","WA",6027,"JOONDALUP","0600","2000","TRUE","TRUE"
147,"Rubies Nursing-Home Care Support Canberra"," CRACE 2911 ACT","ACT",2911,"CRACE","0700","2030","TRUE","TRUE"
148,"Southern Highlands Home Care"," BURRADOO 2576 NSW","NSW",2576,"BURRADOO","0630","1700","TRUE","TRUE"
149,"mecwacare Home Care Packages"," MALVERN 3144 VIC","VIC",3144,"MALVERN","0800","1700","TRUE","TRUE"
150,"White Oak Home Care - North Metro"," JOONDALUP 6027 WA","WA",6027,"JOONDALUP","0600","2000","TRUE","TRUE"
151,"Resthaven Community Services -  Limestone Coast"," NARACOORTE 5271 SA","SA",5271,"NARACOORTE","0800","1800","TRUE","TRUE"
152,"Great Care Point Cook Branch"," POINT COOK 3030 VIC","VIC",3030,"POINT COOK","0830","1730","TRUE","TRUE"
153,"Great Care Dandenong Branch"," SPRINGVALE 3171 VIC","VIC",3171,"SPRINGVALE","0830","1730","TRUE","TRUE"
154,"Community Gateway - Shellharbour"," Wollongong 2500 NSW","NSW",2500,"Wollongong","0600","1200","TRUE","TRUE"
155,"Uniting AgeWell Loddon Mallee North Community Services"," Swan Hill 3585 VIC","VIC",3585,"Swan Hill","0900","1700","TRUE","TRUE"
156,"Sequel Home Care"," HEIDELBERG 3084 VIC","VIC",3084,"HEIDELBERG","0800","2000","TRUE","TRUE"
157,"TSC Home and Community Care"," BOX HILL 3128 VIC","VIC",3128,"BOX HILL","0900","1730","TRUE","TRUE"
158,"Resthaven Community Services - Onkaparinga"," NOARLUNGA CENTRE 5168 SA","SA",5168,"NOARLUNGA CENTRE","0800","1800","TRUE","TRUE"
159,"Resthaven Community Services - Riverland"," LOXTON 5333 SA","SA",5333,"LOXTON","0800","1800","TRUE","TRUE"
160,"FHSS Home Care Packages"," PAYNEHAM 5070 SA","SA",5070,"PAYNEHAM","0700","1900","TRUE","TRUE"
161,"Focus Care Solutions - Northern Sydney and Northern Beaches"," BURWOOD 2134 NSW","NSW",2134,"BURWOOD","0830","1730","TRUE","TRUE"
162,"Focus Care Solutions - Nepean and Blue Mountains"," BURWOOD 2134 NSW","NSW",2134,"BURWOOD","0830","1730","TRUE","TRUE"
163,"Focus Care Solutions - Inner West"," BURWOOD 2134 NSW","NSW",2134,"BURWOOD","0830","1730","TRUE","TRUE"
164,"Focus Care Solutions - South East Sydney"," BURWOOD 2134 NSW","NSW",2134,"BURWOOD","0830","1730","TRUE","TRUE"
165,"Focus Care Solutions - Western Sydney"," BURWOOD 2134 NSW","NSW",2134,"BURWOOD","0830","1730","TRUE","TRUE"
166,"Focus Care Solutions - South West Sydney"," BURWOOD 2134 NSW","NSW",2134,"BURWOOD","0830","1730","TRUE","TRUE"
167,"Focus Care Solutions - Central Coast"," BURWOOD 2134 NSW","NSW",2134,"BURWOOD","0830","1730","TRUE","TRUE"
168,"Wesley Mission Queensland (Gympie / Sunshine Coast)"," Gympie 4570 QLD","QLD",4570,"Gympie","0600","2030","TRUE","TRUE"
169,"Daughterly Care Community Services - Mosman"," MOSMAN 2088 NSW","NSW",2088,"MOSMAN","0730","1800","TRUE","TRUE"
170,"Daughterly Care Community Services - Northern Beaches"," NARRABEEN 2101 NSW","NSW",2101,"NARRABEEN","0730","1800","TRUE","TRUE"
171,"Wesley Mission (Illawarra)"," CARINGBAH 2229 NSW","NSW",2229,"CARINGBAH","0700","1900","TRUE","TRUE"
172,"Blue Care Mossman Community Care"," MOSSMAN 4873 QLD","QLD",4873,"MOSSMAN","0600","1800","TRUE","TRUE"
173,"Australian Unity Home Care Service - Grampians"," BALLARAT CENTRAL 3350 VIC","VIC",3350,"BALLARAT CENTRAL","0600","2030","TRUE","TRUE"
174,"Australian Unity Home Care Service - Northern Metro"," BOX HILL 3128 VIC","VIC",3128,"BOX HILL","0600","2030","TRUE","TRUE"
175,"Australian Unity Home Care Service - Western Metro"," BOX HILL 3128 VIC","VIC",3128,"BOX HILL","0600","2030","TRUE","TRUE"
176,"Australian Unity Home Care Service - Inner East Metro"," BOX HILL 3128 VIC","VIC",3128,"BOX HILL","0600","2030","TRUE","TRUE"
177,"Australian Unity Home Care Service - Peninsula"," BOX HILL NORTH 3129 VIC","VIC",3129,"BOX HILL NORTH","0600","2030","TRUE","TRUE"
178,"EPIS Newman"," Newman 6753 WA","WA",6753,"Newman","0800","1600","TRUE","TRUE"
179,"PAWA Community Care Polish & Eastern European Specialist Home Care Packages"," Ashfield 2131 NSW","NSW",2131,"Ashfield","0600","2000","TRUE","TRUE"
180,"Uniting AgeWell Loddon Mallee South Community Services"," Bendigo 3550 VIC","VIC",3550,"Bendigo","0900","1700","TRUE","TRUE"
181,"Daughterly Care Community Services - Narrabeen"," NARRABEEN 2101 NSW","NSW",2101,"NARRABEEN","0730","1800","TRUE","TRUE"
182,"Daughterly Care Community Services - Northern Sydney"," NARRABEEN 2101 NSW","NSW",2101,"NARRABEEN","0730","1800","TRUE","TRUE"
183,"Gladstone Community Linking Agency Inc."," GLADSTONE CENTRAL 4680 QLD","QLD",4680,"GLADSTONE CENTRAL","0600","2030","TRUE","TRUE"
184,"Muslim Care- HCP"," CAMPSIE 2194 NSW","NSW",2194,"CAMPSIE","0700","2000","TRUE","TRUE"
185,"PresCare Community Mackay"," WEST MACKAY 4740 QLD","QLD",4740,"WEST MACKAY","0600","1800","TRUE","TRUE"
186,"CASS Home Care Package (Korean, mainstream) - Northern Sydney"," CAMPSIE 2194 NSW","NSW",2194,"CAMPSIE","0800","1800","TRUE","TRUE"
187,"Community Interlink - North East Health Wangaratta"," WANGARATTA 3677 VIC","VIC",3677,"WANGARATTA","0900","1700","TRUE","TRUE"
188,"Bexley Care Centre"," BEXLEY 2207 NSW","NSW",2207,"BEXLEY","0600","1800","TRUE","TRUE"
189,"Home Care Assistance Perth South Metropolitan Region"," APPLECROSS 6153 WA","WA",6153,"APPLECROSS","0500","2030","TRUE","TRUE"
190,"Home Care Assistance Greater Parramatta"," PENRITH 2750 NSW","NSW",2750,"PENRITH","0500","2030","TRUE","TRUE"
191,"MiCare- Sunshine Coast, QLD"," CALOUNDRA 4551 QLD","QLD",4551,"CALOUNDRA","0900","1700","TRUE","TRUE"
192,"Better Living Homecare NSW"," SYDNEY 2000 NSW","NSW",2000,"SYDNEY","0800","1700","TRUE","TRUE"
193,"Better Living Homecare QLD"," BRISBANE CITY 4000 QLD","QLD",4000,"BRISBANE CITY","0900","1700","TRUE","TRUE"
194,"Community Interlink - Nexus"," BROADFORD 3658 VIC","VIC",3658,"BROADFORD","0900","1700","TRUE","TRUE"
195,"Community Interlink - Albury Wodonga Health"," EAST ALBURY 2640 NSW","NSW",2640,"EAST ALBURY","0900","1700","TRUE","TRUE"
196,"St Simeon Village Community Services"," PLUMPTON 2761 NSW","NSW",2761,"PLUMPTON",NaN,NaN,"TRUE","TRUE"
198,"Southern Cross Care SA & NT Home Support Services Metro North"," NORTH PLYMPTON 5037 SA","SA",5037,"NORTH PLYMPTON","0700","2030","TRUE","TRUE"
199,"Home Care Assistance South Yarra"," ROWVILLE 3178 VIC","VIC",3178,"ROWVILLE","0500","2030","TRUE","TRUE"
200,"Blue Care HCP1 & 2 Southside Community Care"," EIGHT MILE PLAINS 4113 QLD","QLD",4113,"EIGHT MILE PLAINS","0600","1800","TRUE","TRUE"
201,"Alfred Health Home Care Packages"," CAULFIELD 3162 VIC","VIC",3162,"CAULFIELD","0830","1700","TRUE","TRUE"
202,"Just Better Care Northern Suburbs"," GORDON 2072 NSW","NSW",2072,"GORDON","0600","2030","TRUE","TRUE"
203,"Communify Qld Aged Care Packages"," BARDON 4065 QLD","QLD",4065,"BARDON","0500","2000","TRUE","TRUE"
204,"1300 006 CARE - Daughterly Care Community Services"," NARRABEEN 2101 NSW","NSW",2101,"NARRABEEN","0730","1800","TRUE","TRUE"
206,"Home Care Assistance Newcastle"," NEWCASTLE 2300 NSW","NSW",2300,"NEWCASTLE","0500","2030","TRUE","TRUE"
207,"Afea Care Services"," CHATSWOOD 2067 NSW","NSW",2067,"CHATSWOOD","0800","1800","TRUE","TRUE"
208,"The Co-operative Life Western Sydney"," COLEBEE 2761 NSW","NSW",2761,"COLEBEE","0730","1930","TRUE","TRUE"
209,"The Co-operative Life North Sydney"," BEROWRA 2081 NSW","NSW",2081,"BEROWRA","0730","1930","TRUE","TRUE"
210,"The Co-operative Life South West Sydney"," CAMPBELLTOWN 2560 NSW","NSW",2560,"CAMPBELLTOWN","0730","1930","TRUE","TRUE"
211,"The Co-operative Life Inner West Sydney"," WATERLOO 2017 NSW","NSW",2017,"WATERLOO","0730","1930","TRUE","TRUE"
212,"Colbrow Homecare"," VERMONT 3133 VIC","VIC",3133,"VERMONT","0800","2000","TRUE","TRUE"
213,"The Co-operative Life Eastern Sydney"," WATERLOO 2017 NSW","NSW",2017,"WATERLOO","0730","1930","TRUE","TRUE"
214,"Home Care Assistance Brisbane South"," SUNNYBANK HILLS 4109 QLD","QLD",4109,"SUNNYBANK HILLS","0500","2030","TRUE","TRUE"
215,"Simply Helping Greater Eastern"," CHIRNSIDE PARK 3116 VIC","VIC",3116,"CHIRNSIDE PARK","0900","1700","TRUE","TRUE"
216,"Wunda Home & Community Care"," ST ALBANS 3021 VIC","VIC",3021,"ST ALBANS","0900","1700","TRUE","TRUE"
217,"HOLY CROSS COMMUNITY CARE LTD -  BANKSTOWN"," BANKSTOWN 2200 NSW","NSW",2200,"BANKSTOWN","0500","2030","TRUE","TRUE"
219,"JCS Home Care Packages"," JOSLIN 5070 SA","SA",5070,"JOSLIN","0700","1900","TRUE","TRUE"
220,"Dementia Caring Australia - Sunshine Coast"," KULUIN 4558 QLD","QLD",4558,"KULUIN","0600","2030","TRUE","TRUE"
221,"Better Living Homecare SA"," ADELAIDE 5000 SA","SA",5000,"ADELAIDE",NaN,NaN,"TRUE","TRUE"
222,"Muslim Care."," CAMPSIE 2194 NSW","NSW",2194,"CAMPSIE","0700","2000","TRUE","TRUE"
223,"Dementia Caring Australia - Sydney"," BONDI JUNCTION 2022 NSW","NSW",2022,"BONDI JUNCTION","0600","2030","TRUE","TRUE"
224,"Dementia Caring Australia"," CARLTON 2218 NSW","NSW",2218,"CARLTON","0600","2030","TRUE","TRUE"
225,"Dementia Caring"," ANNANGROVE 2156 NSW","NSW",2156,"ANNANGROVE","0600","2030","TRUE","TRUE"
226,"EPIS Home Care Packages"," TOM PRICE 6751 WA","WA",6751,"TOM PRICE","0800","1600","TRUE","TRUE"
228,"Blue Care Maryborough Community Care"," MARYBOROUGH 4650 QLD","QLD",4650,"MARYBOROUGH","0600","1800","TRUE","TRUE"
229,"Meditech Staffing"," STRATHFIELD 2135 NSW","NSW",2135,"STRATHFIELD","0500","2030","TRUE","TRUE"
230,"Direct Care Home Care Packages Adelaide"," CAMPBELLTOWN 5074 SA","SA",5074,"CAMPBELLTOWN","0500","2030","TRUE","TRUE"
231,"Caring Support @Home"," DINGLEY VILLAGE 3172 VIC","VIC",3172,"DINGLEY VILLAGE","0830","1700","TRUE","TRUE"
232,"Regis Home Care Darwin"," TIWI 810 NT","NT",810,"TIWI","0830","1730","TRUE","TRUE"
