"OUTLET_NAME","HOURS_OPEN","HOURS_CLOSE","STATE"
"Helping Hands Community Care Services Pty Ltd (Slacks Creek)","0900","1700","QLD"
"Catholic Healthcare Community Services South West Sydney (formerly Catholic Community Services)","0600","1900","NSW"
"Just Better Care Gold Coast","0800","1630","QLD"
"Catholic Healthcare Community Services South West Sydney (formerly Catholic Community Services)","0600","1900","NSW"
"Catholic Healthcare Community Services South West Sydney (formerly Catholic Community Services)","0600","1900","NSW"
"Catholic Healthcare Community Services South West Sydney (formerly Catholic Community Services)","0600","1900","NSW"
"Catholic Healthcare Community Services South West Sydney (formerly Catholic Community Services)","0600","1900","NSW"
"Catholic Healthcare Community Services South West Sydney (formerly Catholic Community Services)","0600","1900","NSW"
"Kalkarindji - Daguragu Community Aged and Disability Service","0800","1630","NT"
"Catholic Healthcare Community Services South West Sydney (formerly Catholic Community Services)","0600","1900","NSW"
"Catholic Healthcare Community Services South West Sydney (formerly Catholic Community Services)","0600","1900","NSW"
"Catholic Healthcare Community Services South West Sydney (formerly Catholic Community Services)","0600","1900","NSW"
"Catholic Healthcare Community Services South West Sydney (formerly Catholic Community Services)","0600","1900","NSW"
"Alliance Health - Inner West Sydney Services","0700","2030","NSW"
"Alliance Health - South Eastern Sydney Services","0700","2030","NSW"
"Blue Care Springwood Community Care","0600","1800","QLD"
"NEW HOME AGED CARE","0630","2030","NSW"
"Focused Health Care Pty Ltd - Brisbane North","0500","2030","QLD"
"Omni-Care HCP","0600","2030","VIC"
"TTHA at Home (Tabulam and Templer Community Care)","0900","1700","VIC"
"Just Better Care South West NSW","0500","2030","NSW"
"Focused Health Care Pty Ltd - Brisbane South","0500","2030","QLD"
"Residential Gardens","0600","2030","NSW"
"Focused Health Care Pty Ltd - Sunshine Coast","0500","2030","QLD"
"Community Home Care Busselton and Margaret River","0600","2000","WA"
"OzPol Services - Cabool","0600","2000","QLD"
"Just Better Care Ryde","0600","2030","NSW"
"Just Better Care Parramatta","0600","2030","NSW"
"Just Better Care Bankstown","0600","2030","NSW"
"Stirling Community Care (HCP)","0700","2000","WA"
"Community Gateway - Shoalhaven","0600","1200","NSW"
"Morcare Services","0500","2030","VIC"
"SummitCare HomeCare","0500","2030","NSW"
"Aged Care - Your Life Your Way - Shoalhaven","0600","2030","NSW"
"Just Better Care Hawkesbury Nepean","0600","2030","NSW"
"Just Better Care Blue Mountains","0600","0630","NSW"
"Newcastle and District Nursing Service","0600","1800","NSW"
"Just Better Care Brisbane East","0800","1630","QLD"
"Heather Hill Home Care","0500","2030","QLD"
"Comfort Keepers","0600","2000","WA"
"City of Stirling - Stirling Community Care (HCP)","0700","2000","WA"
"Murray Mallee Aged Care Group Inc. - Home Care Packages","0600","2000","SA"
"All Aged Care - Logan River Valley","0600","2000","QLD"
"Harmony Homecare","0500","2030","VIC"
"Hills Nursing","0600","2030","NSW"
"Continuum Care","0500","2030","SA"
"Community Vision Incorporated","0600","2000","WA"
"Rubies Nursing-Home Care Support Canberra","0700","2030","ACT"
"Southern Highlands Home Care","0630","1700","NSW"
"mecwacare Home Care Packages","0800","1700","VIC"
"White Oak Home Care - North Metro","0600","2000","WA"
"Resthaven Community Services -  Limestone Coast","0800","1800","SA"
"Great Care Point Cook Branch","0830","1730","VIC"
"Great Care Dandenong Branch","0830","1730","VIC"
"Community Gateway - Shellharbour","0600","1200","NSW"
"Uniting AgeWell Loddon Mallee North Community Services","0900","1700","VIC"
"Sequel Home Care","0800","2000","VIC"
"TSC Home and Community Care","0900","1730","VIC"
"Resthaven Community Services - Onkaparinga","0800","1800","SA"
"Resthaven Community Services - Riverland","0800","1800","SA"
"FHSS Home Care Packages","0700","1900","SA"
"Focus Care Solutions - Northern Sydney and Northern Beaches","0830","1730","NSW"
"Focus Care Solutions - Nepean and Blue Mountains","0830","1730","NSW"
"Focus Care Solutions - Inner West","0830","1730","NSW"
"Focus Care Solutions - South East Sydney","0830","1730","NSW"
"Focus Care Solutions - Western Sydney","0830","1730","NSW"
"Focus Care Solutions - South West Sydney","0830","1730","NSW"
"Focus Care Solutions - Central Coast","0830","1730","NSW"
"Wesley Mission Queensland (Gympie / Sunshine Coast)","0600","2030","QLD"
"Daughterly Care Community Services - Mosman","0730","1800","NSW"
"Daughterly Care Community Services - Northern Beaches","0730","1800","NSW"
"Wesley Mission (Illawarra)","0700","1900","NSW"
"Blue Care Mossman Community Care","0600","1800","QLD"
"Australian Unity Home Care Service - Grampians","0600","2030","VIC"
"Australian Unity Home Care Service - Northern Metro","0600","2030","VIC"
"Australian Unity Home Care Service - Western Metro","0600","2030","VIC"
"Australian Unity Home Care Service - Inner East Metro","0600","2030","VIC"
"Australian Unity Home Care Service - Peninsula","0600","2030","VIC"
"EPIS Newman","0800","1600","WA"
"PAWA Community Care Polish & Eastern European Specialist Home Care Packages","0600","2000","NSW"
"Uniting AgeWell Loddon Mallee South Community Services","0900","1700","VIC"
"Daughterly Care Community Services - Narrabeen","0730","1800","NSW"
"Daughterly Care Community Services - Northern Sydney","0730","1800","NSW"
"Gladstone Community Linking Agency Inc.","0600","2030","QLD"
"Muslim Care- HCP","0700","2000","NSW"
"PresCare Community Mackay","0600","1800","QLD"
"CASS Home Care Package (Korean, mainstream) - Northern Sydney","0800","1800","NSW"
"Community Interlink - North East Health Wangaratta","0900","1700","VIC"
"Bexley Care Centre","0600","1800","NSW"
"Home Care Assistance Perth South Metropolitan Region","0500","2030","WA"
"Home Care Assistance Greater Parramatta","0500","2030","NSW"
"MiCare- Sunshine Coast, QLD","0900","1700","QLD"
"Better Living Homecare NSW","0800","1700","NSW"
"Better Living Homecare QLD","0900","1700","QLD"
"Community Interlink - Nexus","0900","1700","VIC"
"Community Interlink - Albury Wodonga Health","0900","1700","NSW"
"St Simeon Village Community Services",NaN,NaN,"NSW"
"St Simeon Village Community Services","0700","2030","NSW"
"Southern Cross Care SA & NT Home Support Services Metro North","0700","2030","SA"
"Home Care Assistance South Yarra","0500","2030","VIC"
"Blue Care HCP1 & 2 Southside Community Care","0600","1800","QLD"
"Alfred Health Home Care Packages","0830","1700","VIC"
"Just Better Care Northern Suburbs","0600","2030","NSW"
"Communify Qld Aged Care Packages","0500","2000","QLD"
"1300 006 CARE - Daughterly Care Community Services","0730","1800","NSW"
"Your Aged Care at Home Ltd","0600","2000","NSW"
"Home Care Assistance Newcastle","0500","2030","NSW"
"Afea Care Services","0800","1800","NSW"
"The Co-operative Life Western Sydney","0730","1930","NSW"
"The Co-operative Life North Sydney","0730","1930","NSW"
"The Co-operative Life South West Sydney","0730","1930","NSW"
"The Co-operative Life Inner West Sydney","0730","1930","NSW"
"Colbrow Homecare","0800","2000","VIC"
"The Co-operative Life Eastern Sydney","0730","1930","NSW"
"Home Care Assistance Brisbane South","0500","2030","QLD"
"Simply Helping Greater Eastern","0900","1700","VIC"
"Wunda Home & Community Care","0900","1700","VIC"
"HOLY CROSS COMMUNITY CARE LTD -  BANKSTOWN","0500","2030","NSW"
"Wunda Home & Community Care","0830","1700","VIC"
"JCS Home Care Packages","0700","1900","SA"
"Dementia Caring Australia - Sunshine Coast","0600","2030","QLD"
"Better Living Homecare SA",NaN,NaN,"SA"
"Muslim Care.","0700","2000","NSW"
"Dementia Caring Australia - Sydney","0600","2030","NSW"
"Dementia Caring Australia","0600","2030","NSW"
"Dementia Caring","0600","2030","NSW"
"EPIS Home Care Packages","0800","1600","WA"
"mecwacare Home Care Packages","0800","1700","VIC"
"Blue Care Maryborough Community Care","0600","1800","QLD"
"Meditech Staffing","0500","2030","NSW"
"Direct Care Home Care Packages Adelaide","0500","2030","SA"
"Caring Support @Home","0830","1700","VIC"
"Regis Home Care Darwin","0830","1730","NT"
"Ngaanyatjarra Health Service",NaN,NaN,"NT"
"Blue Care Brisbane Valley Community Care","0600","1800","QLD"
"Enrich Living Services (formerly HomeCare Options) - 1300 20 20 03","0600","2030","WA"
"Blue Care Callide Valley Community Care","0600","1800","QLD"
"Blue Care Gladstone Community Care","0600","1800","QLD"
"Blue Care Mackay Community Care","0600","1800","QLD"
"Blue Care Mt Isa Community Care","0600","1800","QLD"
"Blue Care Townsville Community Care","0600","1800","QLD"
"Blue Care Cassowary Coast Community Care (Innisfail/Tully)","0600","1800","QLD"
"Blue Care Cassowary Coast Community Care (Innisfail/Tully)","0600","1800","QLD"
"Loyal care homecare package","0700","1900","VIC"
"Blue Care Gayndah Community Care & Respite Centre","0600","1800","QLD"
"Uniting AgeWell North West Community Services","0800","1730","VIC"
"mecwacare Home Care Packages","0800","1700","VIC"
"Blue Care Tablelands Community Care","0600","1800","QLD"
"Zenitas Care","0600","2030","SA"
"Shire of Manjimup Home and Community Care","0630","1830","WA"
"Auspire Care - VIC","0500","2030","VIC"
"Home Care Nurses Australia - Brisbane North","0800","1800","QLD"
"COMMUNITY SERVICES #1/Client Services","0700","1900","ACT"
"Home Care Assistance South East Melbourne","0500","2030","VIC"
"ACCA Chinese Home Care Packages Northern Sydney","0800","1830","NSW"
"Oxley Home Care Northern Sydney","0830","1700","NSW"
"Oxley Home Care Northern Beaches","0830","1700","NSW"
"Oxley Home Care Western Sydney","0830","1630","NSW"
"Oxley Home Care Inner West Sydney","0830","1700","NSW"
"Oxley Home Care South West Sydney","0830","1700","NSW"
"Oxley Home Care Eastern Suburbs Sydney","0830","1700","NSW"
"Community Services #1 Home Care Packages","0700","1900","ACT"
"OzPol All Aged Care - Brisbane North","0600","2000","QLD"
"OzPol All Aged Care - Brisbane South","0600","2000","QLD"
"OzPol All Aged Care - Cabool","0600","2000","QLD"
"OzPol All Aged Care - Logan River Valley","0600","2000","QLD"
"OzPol All Aged Care - South Coast","0600","0800","QLD"
"OzPol All Aged Care - Sunshine Coast","0600","2000","QLD"
"All Aged Care OzPol - Brisbane North","0600","2000","QLD"
"All Aged Care OzPol - Brisbane South","0600","2000","QLD"
"All Aged Care OzPol - Cabool","0600","2000","QLD"
"All Aged Care OzPol - Logan River Valley","0600","2000","QLD"
"All Aged Care OzPol - South Coast","0600","0800","QLD"
"All Aged Care OzPol - Sunshine Coast","0600","2000","QLD"
"Bolton Clarke- RDNS Geelong","0500","2030","VIC"
"Sunny Care home service","0700","1700","QLD"
"OzPol Multicultural Services - Brisbane North","0600","2000","QLD"
"OzPol Multicultural Services - Brisbane South","0600","2000","QLD"
"OzPol Multicultural Services - Cabool","0600","2000","QLD"
"OzPol Multicultural Services - Sunshine Coast","0600","2000","QLD"
"OzPol Multicultural Services - South Coast","0600","2000","QLD"
"OzPol Multicultural Services - Logan River Valley","0600","2000","QLD"
"Multicultural Services OzPol - Brisbane North","0600","2000","QLD"
"Multicultural Services OzPol - Brisbane South","0600","2000","QLD"
"Beata Homecare - Khmer (Cambodian)","0730","1900","VIC"
"Multicultural Services OzPol - Cabool","0600","2000","QLD"
"Multicultural Services OzPol - Sunshine Coast","0600","2000","QLD"
"Multicultural Services OzPol - South Coast","0600","2000","QLD"
"Multicultural Services OzPol - Logan River Valley","0600","2000","QLD"
"Beata Homecare Southern Metro","0730","1900","VIC"
"Beata Homecare Eastern Metro","0730","1900","VIC"
"Beata Homecare Northern Metro","0730","1900","VIC"
"Beata Homecare Western Metro","0730","1900","VIC"
"Prestige Inhome Care Pty Ltd","0800","1730","VIC"
"Accept","0600","2000","SA"
"Community First HCP Kwinana","0800","1900","WA"
"Infinity QCare Home Care Provider - BRISBANE","0700","2000","QLD"
"Community Interlink - Cobram","0830","1700","VIC"
"Oxley Home Care Pittwater","0800","1700","NSW"
"Oxley Home Care Warringah","0800","1700","NSW"
"Oxley Home Care Manly","0800","1700","NSW"
"Oxley Home Care Hills","0830","1700","NSW"
"Oxley Home Care Parramatta","0830","1700","NSW"
"Oxley Home Care Blacktown","0830","1700","NSW"
"Oxley Home Care Liverpool","0830","1700","NSW"
"Oxley Home Care Bankstown","0830","1700","NSW"
"Oxley Home Care Strathfield","0830","1700","NSW"
"Oxley Home Care Canada Bay","0830","1700","NSW"
"Oxley Home Care Burwood","0830","1700","NSW"
"Auscare Multicultural Home, Community, & Disability Services","0500","0530","NSW"
"West Coast Home Care","0700","1900","SA"
"Approved Home Care Provider - MCWA Complete Care","0600","2000","VIC"
"Eremea Home Care Package Provider","0830","1700","NSW"
"Home Care Packages Program - United - Spanish Latin American Welfare Centre","0900","1700","VIC"
"Eremea Home Care Package Provider- Inner West","0830","1700","NSW"
"Commonwealth Home Support Programme (CHSP) - United","0900","1700","VIC"
"Australian Croatian Community Services (Barwon South West)","0800","1800","VIC"
"1st Care Brisbane South","0700","1800","QLD"
"Taiwan Care","0700","2000","QLD"
"PresCare Community Care Townsville","0600","1800","QLD"
"Just Better Care Hills District","0500","2030","NSW"
"CCNB North Shore & Beaches Home Care Packages","0830","1800","NSW"
"Beata Homecare - Nursing Services","0730","1900","VIC"
"1st Care Community Package Care South Brisbane","0700","1800","QLD"
"First Care Community Care Package South Brisbane & Gold Goast","0700","1800","QLD"
"Empower Home Care","0600","2000","VIC"
"Brotherhood of St Laurence Aged Care - Home Care Packages Level 1,2,3,4","0900","1700","VIC"
"Australian Migrant Resource Centre Home Care",NaN,NaN,"SA"
"Australian Migrant Resource Centre Home Care","0500","2030","SA"
"Wunda Home & Community Care","0900","1700","VIC"
"Co.As.It.","0700","1900","NSW"
"Wunda Home & Community Care Service","0900","1700","VIC"
"Uniting Goulburn North East Home Care Packages","0900","1700","VIC"
"Comfort Keepers South","0600","2030","WA"
"Uniting Communities - Home Care Packages","0700","2000","SA"
"Regis Home Care Tasmania - North","0830","1730","TAS"
"Regis Home Care Tasmania – South","0830","1730","TAS"
"Morrissey Homestead Inc.","0700","1700","WA"
"New Age Home and Community Services","0800","2000","NSW"
"Your Aged Care at Home Ltd","0600","2000","NSW"
"ADS Care","0800","1800","NSW"
"Olive Tree Home Care","0900","1700","VIC"
"Prestige Inhome Care     Camberwell","0830","1700","VIC"
"Prestige Inhome Care Pty Ltd, Cheltenham","0830","1700","VIC"
"RSL Care Cairns - Bolton Clarke","0500","2030","QLD"
"Prestige Inhome Care Pty Ltd, Mornington","0830","1700","VIC"
"Burnie Brae","0600","2000","QLD"
"MercyCare HCP","0700","1800","WA"
"Prestige Inhome Care Pty Ltd, Geelong","0830","1700","VIC"
"Mirae Community Care Services Australia HQ","0800","1800","NSW"
"Western Homecare","0900","1700","VIC"
"Zenitas Caring Choice Pty Ltd","0600","2030","SA"
"Murraylands MRC Home Care",NaN,NaN,"SA"
"Prahran Mission Home Care Packages","0900","1700","VIC"
"Uniting Goulburn North East Home Care Packages","0900","1700","VIC"
"Uniting Goulburn North East Home Care Packages","0900","1700","VIC"
"Northern Area MRC Home Care",NaN,NaN,"SA"
"MELBAR PTY LTD","0900","1800","NSW"
"RSL Care Cairns - Bolton Clarke","0500","2030","QLD"
"RSL Care Cairns - Bolton Clarke","0500","2030","QLD"
"RSL Care Cairns - Bolton Clarke","0500","2030","QLD"
"RSL Care Cairns - Bolton Clarke","0500","2030","QLD"
"CatholicCare Sydney","0600","1800","NSW"
"Multicultural Communities Council of Illawarra - Home Care Packages","0600","2030","NSW"
"Murray Mallee Aged Care Group Inc.- Metro Home Care Packages","0600","2000","SA"
"Wise Choice In Home Care","0800","1800","NSW"
"BCD Community Care - Southern Highlands","0700","2030","NSW"
"BCD Community Care - South West Sydney","0700","2030","NSW"
"Home Care Packages Level 1 to 4 - Brotherhood of St Laurence Aged Care","0900","1700","VIC"
"Home Care Packages Level 1 to 4 - Brotherhood of St Laurence Aged Care","0900","1700","VIC"
"Home Care Packages Level 1 to 4 - Brotherhood of St Laurence Aged Care","0900","1700","VIC"
"Home Care Packages Level 1 to 4 - Brotherhood of St Laurence Aged Care","0900","1700","VIC"
"Home Care Packages Level 1 to 4 - Brotherhood of St Laurence Aged Care","0900","1700","VIC"
"Home Care Packages Level 1 to 4 - Brotherhood of St Laurence Aged Care","0900","1700","VIC"
"Home Care Packages Level 1 to 4 - Brotherhood of St Laurence Aged Care","0900","1700","VIC"
"Home Care Packages Level 1 to 4 - Brotherhood of St Laurence Aged Care","0900","1700","VIC"
"Brotherhood of St Laurence Aged Care - Home Care Packages Level 1,2,3,4","0900","1700","VIC"
"Brotherhood of St Laurence Aged Care - Home Care Packages Level 1,2,3,4","0900","1700","VIC"
"1300147147 Brotherhood of St Laurence Aged Care - Home Care Packages","0900","1700","VIC"
"1300147147 Brotherhood of St Laurence Aged Care - Home Care Packages","0900","1700","VIC"
"1300147147 Brotherhood of St Laurence Aged Care - Home Care Packages","0900","1700","VIC"
"1300147147 Brotherhood of St Laurence Aged Care - Home Care Packages","0900","1700","VIC"
"1300147147 Brotherhood of St Laurence Aged Care - Home Care Packages","0900","1700","VIC"
"Aged Care Brotherhood of St Laurence - Home Care Packages 1300147147","0900","1700","VIC"
"Aged Care Brotherhood of St Laurence - Home Care Packages 1300147147","0900","1700","VIC"
"Aged Care Brotherhood of St Laurence - Home Care Packages 1300147147","0900","1700","VIC"
"Aged Care Brotherhood of St Laurence - Home Care Packages 1300147147","0900","1700","VIC"
"Aged Care Brotherhood of St Laurence - Home Care Packages 1300147147","0900","1700","VIC"
"Aged Care Brotherhood of St Laurence - Home Care Packages 1300147147","0900","1700","VIC"
"Wunda Home & Community Care","0900","1700","VIC"
"Just Better Care South East Melbourne","0900","1700","VIC"
"Chinese Welfare Services - 'Be a Friend' Community Program","0700","2030","SA"
"EICARE","0500","2030","VIC"
"YellowBridge QLD","0830","1700","QLD"
"Sue's Home Care Nursing","0700","1900","NSW"
"Care Connect New South Wales CHSP & Home Care Package Level 1-4","0830","1700","NSW"
"Five Good Friends NSW","0500","2030","QLD"
"Seniors Community Care","0800","1700","VIC"
"WELLWAYS  NSW","0600","2030","NSW"
"Five Good Friends Victoria","0500","2030","QLD"
"Five Good Friends South Australia","0500","2030","QLD"
"Five Good Friends QLD","0500","2030","QLD"
"Wunda Home & Community Care Service","0900","1700","VIC"
"Dutiful Daughters Bondi Junction","0830","1700","NSW"
"METTA COMMUNITY CARE SYDNEY - [MCCS]","0900","1700","NSW"
"Helping Hands Community Care Services Pty Ltd (Doolandella)","0900","1700","QLD"
"Bolton Clarke- RDNS South Australia","0500","2030","SA"
"Essential Care","0500","2030","NSW"
"Bolton Clarke- RDNS Western Australia","0500","2030","WA"
"Absolute Care & Health Packages","0700","1800","VIC"
"Morrissey Homestead Inc.","0700","1800","WA"
"Honour Care - VIC","0500","2030","VIC"
"Senior Helpers Southern Tasmania","0700","2000","TAS"
"Carrathool Shire Multi Service Outlet","0700","1900","NSW"
"LingCare Home Care","0700","1800","SA"
"1300660636 Home Care Nursing","0830","1630","NSW"
"Chinese Welfare Services - 'Be a Friend' Community Program","0700","2030","SA"
"All Care",NaN,NaN,"NSW"
"LingCare Home Care (Metro West) Home Care Packages Levels 1-2","0700","1800","SA"
"LingCare Home Care (Metro South) Home Care Packages Levels 3-4","0700","1800","SA"
"LingCare Home Care (Metro East) Home Care Packages Levels 1-2","0700","1800","SA"
"LingCare Home Care (Metro East) Home Care Packages Levels 3-4","0700","1800","SA"
"LingCare Home Care (Metro North) Home Care Packages Levels 1-2","0700","1800","SA"
"LingCare Home Care (Metro North) Home Care Packages Levels 3-4","0700","1800","SA"
"LingCare Home Care (Metro South) Home Care Packages Levels 1-2","0700","1800","SA"
"LingCare Home Care (Metro West) Home Care Packages Levels 3-4","0700","1800","SA"
"WELLWAYS  ACT","0600","2030","ACT"
"The CareSide Head Office","0500","2030","WA"
"Australian Total Health Care Solution","0800","1700","VIC"
"Melbcarlton Home and Community Care","0800","1800","VIC"
"Home Instead Senior Care","0500","2030","QLD"
"Chrisbarnard Health Recruitment Pty Ltd",NaN,NaN,"VIC"
"Regal Home Health","0830","1730","NSW"
"WELLWAYS SOUTH QUEENSLAND","0600","2030","QLD"
"inspired aged care pty ltd","0930","1830","NSW"
"Comfort Care Services","0700","1900","NSW"
"MELBAR PTY LTD","0900","1800","NSW"
"MELBAR PTY LTD","0900","1800","NSW"
"MELBAR PTY LTD","0900","1800","NSW"
"InCasa Aged Care And Community Services","0700","1900","WA"
"Mercy Community Aged Care Service","0600","1900","QLD"
"WELLWAYS TOWNSVILLE","0600","2030","QLD"
"WELLWAYS MACKAY","0600","2030","QLD"
"Mercy Community Aged Care Service","0700","1830","QLD"
"Guardian Network Tasmania","0700","2030","TAS"
"Mercy Community Aged Care Service","0700","1830","QLD"
"SHINE Community Services HCP","0700","2000","WA"
"Homenursingsolutions","0500","2030","SA"
"Prescare Community Care - Toowoomba",NaN,NaN,"QLD"
"Let’s Get Care – 13% Low Flat Fee","0900","1700","VIC"
"Self Manage and Get More Services with Us","0900","1700","VIC"
"ITSOWEL - Home Care Packages","0730","1800","NSW"
"Self Manage and Get More Services with us","0900","1700","VIC"
"Lets Get Care – 13% Low Flat Fee","0900","1700","VIC"
"Let’s Get Care – 13% Low Flat Fee","0900","1700","VIC"
"Manage your own Care Workers and Services","0900","1700","VIC"
"Manage your own Care Workers and Services.","0900","1700","VIC"
"Get Your Free Info Kit Today – Lets Get Care 13% Fee","0900","1700","VIC"
"Get Your Free Info Kit Today – Let’s Get Care 13% Fee.","0900","1700","VIC"
"Get up to 50% more from your Package – Low Flat Fee","0900","1700","VIC"
"Get up to 50% more from your Package – Low Flat Fee.","0900","1700","VIC"
"Low 13% Flat Fee and up to Double the Care Hours","0900","1700","VIC"
"Low 13% Flat Fee and up to Double the Care Hours.","0900","1700","VIC"
"Low 13% Flat Fee and More Care Services With Us","0900","1700","VIC"
"Low 13% Flat Fee and More Care Services With Us.","0900","1700","VIC"
"Up to 50% More Services from your Home Care Package","0900","1700","VIC"
"Up to 50% More Services from your Home Care Package.","0900","1700","VIC"
"Self Managed Home Care Package Experts","0900","1700","VIC"
"Self Managed Home Care Package Experts.","0900","1700","VIC"
"Low flat 13% Fixed Fee – Lets Get Care.","0900","1700","VIC"
