"","id","SERVICE_NAME","STREET_ST_ADDRESS","STREET_SUBURB","STREET_PCODE","STREET_STATE","MAIN_PH_NUM","WEBSITE","sfd","dem","atsi","terminal","veteran","cald","lgbti","ADDRESS","lat","lng"
"16",15,"Southern Cross Care Young"," Demondrille Street  ","YOUNG",2594,"NSW","+611800632314","NaN","False","False","False","False","False","False","False"," Demondrille Street YOUNG 2594 NSW",-34.3229803,148.292301
"17",16,"Southern Cross Care Mawson Court","80 Caves Beach Road  ","CAVES BEACH",2281,"NSW","+611800632314","http://www.sccliving.org.au","True","True","True","True","False","False","False","80 Caves Beach Road CAVES BEACH 2281 NSW",-33.1050634,151.6447652
"18",17,"Oaklands Residential Care Facility","2 JEAN Street  ","OAKLANDS PARK",5046,"SA","+610882967284","http://www.acsagroup.com.au","False","False","False","False","False","False","False","2 JEAN Street OAKLANDS PARK 5046 SA",-35.0046674,138.5430639
"19",18,"Catholic Healthcare Holy Spirit Dubbo","6 Tony McGrane Place  ","DUBBO",2830,"NSW","+611800551834","http://www.catholichealthcare.com.au","False","False","False","False","False","False","False","6 Tony McGrane Place DUBBO 2830 NSW",-32.2371455,148.6268964
"20",19,"Carol Allen House","133 LONDONDERRY Road  ","RICHMOND",2753,"NSW","+611300111278","http://anglicare.org.au","False","False","False","False","False","False","False","133 LONDONDERRY Road RICHMOND 2753 NSW",-33.6140839,150.7424348
"21",20,"Hugh Cunningham Gardens","2B TURA BEACH Drive  ","TURA BEACH",2548,"NSW","+610264959923","http://www.rsllifecare.org.au","True","True","False","False","True","False","False","2B TURA BEACH Drive TURA BEACH 2548 NSW",-36.864642,149.9134361
"22",21,"Country Health Connect - Ceduna Multi-Purpose Service","3 EYRE Highway  ","CEDUNA",5690,"SA","+610886262110","NaN","True","True","True","True","True","True","True","3 EYRE Highway CEDUNA 5690 SA",-32.1190507,133.672222
"23",22,"Seabrook Aged Care","15-29 Bonton Avenue  ","DECEPTION BAY",4508,"QLD","+610732935400","https://mckenzieacg.com","False","True","False","True","False","False","False","15-29 Bonton Avenue DECEPTION BAY 4508 QLD",-27.1982199,153.0344101
"24",23,"Mosman Park Nursing Home","57 PALMERSTON Street  ","MOSMAN PARK",6012,"WA","+610893841769","http://www.hallprior.com.au/mosman-park","True","True","True","True","True","True","True","57 PALMERSTON Street MOSMAN PARK 6012 WA",-32.01018,115.7669036
"25",24,"Turramurra House Nursing Home","34 Curagul Road  ","NORTH TURRAMURRA",2074,"NSW","+610291442444","http://www.thompsonhealthcare.com.au","False","False","False","True","False","False","False","34 Curagul Road NORTH TURRAMURRA 2074 NSW",-33.6982049,151.1521154
"26",25,"The Ashley Aged Care","17-21 ASHLEY Street  ","RESERVOIR",3073,"VIC","+610394694900","https://mckenzieacg.com","False","False","False","False","False","False","False","17-21 ASHLEY Street RESERVOIR 3073 VIC",-37.7179048,145.0015043
"27",26,"Blayney Multi-Purpose Service","1-3 OSMAN Street  ","BLAYNEY",2799,"NSW","+610263689000","http://www.wnswlhd.health.nsw.gov.au","False","False","False","False","False","False","False","1-3 OSMAN Street BLAYNEY 2799 NSW",-33.5377015,149.2506995
"28",27,"The Waterford @ Hervey Bay","6-8 Medical Place  ","URAWEEN",4655,"QLD","+610743032900","http://www.phc1.com.au","True","True","False","True","False","False","False","6-8 Medical Place URAWEEN 4655 QLD",-25.299308,152.8251896
"29",28,"Eliza Purton Home","26-28 Lakin Street  ","ULVERSTONE",7315,"TAS","+610364251515","http://www.respect.com.au","False","False","False","False","False","False","False","26-28 Lakin Street ULVERSTONE 7315 TAS",-41.1492099,146.1476548
"30",29,"Bellevue Care Centre","53 LINKWOOD Drive  ","FERNY HILLS",4055,"QLD","+610735505999","http://www.bellcare.biz","True","True","True","True","True","True","False","53 LINKWOOD Drive FERNY HILLS 4055 QLD",-27.3868962,152.9324542
"31",30,"Blue Care Shalom Elders Village","190 HERVEY RANGE Road  ","CONDON",4815,"QLD","+611800838929","http://www.bluecare.org.au","False","False","False","False","False","False","False","190 HERVEY RANGE Road CONDON 4815 QLD",-19.3198559,146.7109376
"32",31,"Blue Care Carina Aged Care Facility","455 Richmond Road  ","CARINA",4152,"QLD","+611800838929","http://www.bluecare.org.au","True","True","True","True","True","True","True","455 Richmond Road CARINA 4152 QLD",-27.475316,153.0923111
"33",32,"Opal Bossley Park","56 QUARRY Road  ","BOSSLEY PARK",2176,"NSW","+610294261500","http://ww.opalagedcare.com.au","False","False","False","False","False","False","False","56 QUARRY Road BOSSLEY PARK 2176 NSW",-33.8574214,150.8858082
"34",33,"Uniting John and Helen Robinson Gerringong","61 Belinda Street  ","GERRINGONG",2534,"NSW","+611800846864","https://uniting.org/our-services/services/uniting-aged-care-home/uniting-john-and-helen-robinson-gerringong","False","False","False","False","False","False","True","61 Belinda Street GERRINGONG 2534 NSW",-34.7473132,150.8227331
"35",34,"SummitCare Wallsend","7 BENT Street  ","WALLSEND",2287,"NSW","+610249441500","http://summitcare.com.au/residential-care/wallsend","False","False","False","False","False","False","False","7 BENT Street WALLSEND 2287 NSW",-32.9049767,151.6767448
"36",35,"Benetas Broughton Hall","2 Berwick Street  ","CAMBERWELL",3124,"VIC","+611300236382","www.benetas.com.au/broughtonhall","False","False","False","False","False","False","False","2 Berwick Street CAMBERWELL 3124 VIC",-37.824297,145.0605
"37",36,"Faversham House","27 SHIERLAW Avenue  ","CANTERBURY",3126,"VIC","+610388094901","http://ww.basscare.org.au","False","True","False","True","False","False","False","27 SHIERLAW Avenue CANTERBURY 3126 VIC",-37.8233421,145.0852062
"38",37,"Little Sisters of the Poor Glendalough Home","2 RAWLINS Street  ","GLENDALOUGH",6016,"WA","+610894433155","NaN","True","False","False","False","False","False","False","2 RAWLINS Street GLENDALOUGH 6016 WA",-31.9204654,115.8233081
"39",38,"Archbishop Goody","29 GODERICH Street  ","EAST PERTH",6004,"WA","+610862086000","http://www.catholichomes.com","True","True","True","True","True","True","True","29 GODERICH Street EAST PERTH 6004 WA",-31.9585134,115.8751996
"40",39,"Clelland Lodge","201 Illaroo Road  ","NORTH NOWRA",2541,"NSW","+610244236414","http://www.freshhopecare.org.au/clr","True","True","False","True","False","False","False","201 Illaroo Road NORTH NOWRA 2541 NSW",-34.8560268,150.583689
"41",40,"St Joseph's House","22 NORMAN Street  ","PORT PIRIE",5540,"SA","+610886321450","https://www.spiritofcare.org.au","True","True","False","True","True","False","False","22 NORMAN Street PORT PIRIE 5540 SA",-33.179249,138.008421
"42",41,"Homestyle Belmont Grange","34 CHURCH Street  ","GROVEDALE",3216,"VIC","+610352438522","http://www.homestyleagedcare.com.au","False","False","False","False","False","False","False","34 CHURCH Street GROVEDALE 3216 VIC",-38.195885,144.337905
"43",42,"Kingston Gardens","201 CLARKE Road  ","SPRINGVALE SOUTH",3172,"VIC","+610395495333","NaN","False","False","False","False","False","False","False","201 CLARKE Road SPRINGVALE SOUTH 3172 VIC",-37.975708,145.145463
"44",43,"Bupa Clayton","12 BURTON Avenue  ","CLAYTON",3168,"VIC","+610395431966","http://www.bupaagedcare.com.au/aged-care-homes/bupa-clayton","False","False","False","False","False","False","False","12 BURTON Avenue CLAYTON 3168 VIC",-37.9275327,145.1161598
"45",44,"Bupa Dural","1 STONELEA Court  ","DURAL",2158,"NSW","+610296539600","http://www.bupaagedcare.com.au/aged-care-homes/bupa-dural","False","False","False","False","False","False","False","1 STONELEA Court DURAL 2158 NSW",-33.6940994,151.0176176
"46",45,"Uniting Elizabeth Gates Singleton","128 Blaxland Avenue  ","SINGLETON HEIGHTS",2330,"NSW","+611800864846","https://uniting.org/our-services/services/uniting-aged-care-home/uniting-elizabeth-gates-singleton","True","False","False","False","False","False","True","128 Blaxland Avenue SINGLETON HEIGHTS 2330 NSW",-32.5479726,151.1675456
"47",46,"Harbour Quays Aged Care","36 Compass Drive  ","BIGGERA WATERS",4216,"QLD","+610756553200","http://www.hqac.com.au","False","False","False","False","False","False","False","36 Compass Drive BIGGERA WATERS 4216 QLD",-27.92704,153.380412
"48",47,"Arcare Surrey Hills","18 FLORENCE Road  ","SURREY HILLS",3127,"VIC","+611300175014","https://arcare.com.au/melbourne-aged-care/arcare-surrey-hills/","False","False","False","False","False","False","False","18 FLORENCE Road SURREY HILLS 3127 VIC",-37.8282859,145.1023371
"49",48,"Forest Lodge Residential Aged Care","23 FOREST Drive  ","FRANKSTON NORTH",3200,"VIC","+610439262962","https://www.tlcforestlodge.com.au","True","True","False","False","True","False","False","23 FOREST Drive FRANKSTON NORTH 3200 VIC",-38.1225568,145.1464284
"50",49,"Bupa Woodend","2 SULLIVANS Road  ","WOODEND",3442,"VIC","+610354279700","http://www.bupaagedcare.com.au/aged-care-homes/bupa-woodend","False","True","False","False","False","False","False","2 SULLIVANS Road WOODEND 3442 VIC",-37.3634421,144.5358718
"51",50,"Uniting AgeWell Kalkee Community, Murray","9 SPRING Street  ","BELMONT",3216,"VIC","+610352439566","https://unitingagewell.org","False","False","False","False","False","False","False","9 SPRING Street BELMONT 3216 VIC",-38.1805638,144.3488075
"52",51,"Regis Shenley Manor","440 Camberwell Road  ","CAMBERWELL",3124,"VIC","+611300998100","http://www.regis.com.au/residence/regis-shenley-manor/","False","True","False","True","False","False","False","440 Camberwell Road CAMBERWELL 3124 VIC",-37.8382669,145.0639383
"53",52,"Regis Embleton","46 BROUN Avenue  ","EMBLETON",6062,"WA","+611300998100","http://www.regis.com.au/residence/regis-embleton/","True","True","False","True","False","False","False","46 BROUN Avenue EMBLETON 6062 WA",-31.907081,115.9024031
"54",53,"TriCare Sunnybank Hills Aged Care Residence","330 Jackson Road  ","SUNNYBANK HILLS",4109,"QLD","+610733609011","http://tricare.com.au/aged-care-locations/sunnybank-hills-aged-care-residence/","False","True","False","True","True","False","False","330 Jackson Road SUNNYBANK HILLS 4109 QLD",-27.5958607,153.0454515
"55",54,"Hunters Hill Montefiore Home","120 HIGH Street  ","HUNTERS HILL",2110,"NSW","+610283459135","www.montefiorehome.com.au","True","True","False","True","False","False","False","120 HIGH Street HUNTERS HILL 2110 NSW",-33.8225132,151.1443249
"56",55,"Haddington Nursing Home","126 DUNCAN Street  ","TENTERFIELD",2372,"NSW","+610267364444","http://www.tenterfieldcarecentre.org.au","False","False","False","False","False","False","False","126 DUNCAN Street TENTERFIELD 2372 NSW",-29.0409114,152.0147613
"57",56,"Rembrandt Court","1 MADRAS Street  ","OAKLANDS PARK",5046,"SA","+610881980300","http://rembrandtliving.org.au/","True","True","False","False","False","True","False","1 MADRAS Street OAKLANDS PARK 5046 SA",-35.0021785,138.5426992
"58",57,"Charlton Aged Care","4 LEARMONTH Street  ","CHARLTON",3525,"VIC","+610354776800","http://ewhs.org.au/aged-care/","False","False","False","False","False","False","False","4 LEARMONTH Street CHARLTON 3525 VIC",-36.2687784,143.3530004
"59",58,"Summer Hill Aged Care Services Nursing Home","102 Prospect Road  ","SUMMER HILL",2130,"NSW","+610297984209","NaN","True","True","False","True","False","False","False","102 Prospect Road SUMMER HILL 2130 NSW",-33.8958258,151.1327191
"60",59,"HammondCare - The Meadows"," Judd Avenue  ","HAMMONDVILLE",2170,"NSW","+611800776112","http://www.hammond.com.au/facilities/the-meadows","True","True","False","False","False","False","False"," Judd Avenue HAMMONDVILLE 2170 NSW",-33.9506194,150.9595265
"61",60,"Hunter New England LHD - Warialda Multi-Purpose Service","1 LONG Street  ","WARIALDA",2402,"NSW","+610267289000","http://www.hnehealth.nsw.gov.au","False","False","False","False","False","False","False","1 LONG Street WARIALDA 2402 NSW",-29.5370122,150.5620589
"62",61,"Texas Multipurpose Health Service"," MINGOOLA Road  ","TEXAS",4385,"QLD","+610746533200","NaN","False","False","False","False","False","False","False"," MINGOOLA Road TEXAS 4385 QLD",-28.8580679,151.1790472
"63",62,"Glenarm Nursing Home","13-15 BURGOYNE Street  ","KERANG",3579,"VIC","+610354509278","NaN","False","False","False","False","False","False","False","13-15 BURGOYNE Street KERANG 3579 VIC",-35.7243885,143.9168119
"64",63,"Vacenti - Esida Lodge","79 FOXGLOVE Street  ","MOUNT GRAVATT EAST",4122,"QLD","+610734229507","http://www.vacenti.com.au","True","True","False","False","False","False","False","79 FOXGLOVE Street MOUNT GRAVATT EAST 4122 QLD",-27.5285945,153.0904705
"65",64,"Ozcare Noosa Heads Aged Care Facility","80 COOYAR Street  ","NOOSA HEADS",4567,"QLD","+611800692273","https://www.ozcare.org.au/aged-care/aged-care-facilities/facilities/ozcare-noosa-heads/","True","True","True","True","True","True","True","80 COOYAR Street NOOSA HEADS 4567 QLD",-26.4063223,153.0919427
"66",65,"Catholic Healthcare Holy Spirit Aged Care","13 Neptune Street  ","REVESBY",2212,"NSW","+611800225474","http://www.catholichealthcare.com.au/en/residence/holy-spirit-aged-care-revesby/","True","True","False","False","False","False","False","13 Neptune Street REVESBY 2212 NSW",-33.9638418,151.0201643
"67",66,"Estia Health Merrylands","42 CUMBERLAND Road  ","GREYSTANES",2145,"NSW","+610296311837","http://www.estia.com","False","False","False","False","False","False","False","42 CUMBERLAND Road GREYSTANES 2145 NSW",-33.8288368,150.9482796
"68",67,"Johnson-Goodwin Memorial Homes","22 CAMP Street  ","DONALD",3480,"VIC","+610354971304","NaN","True","True","False","True","False","False","False","22 CAMP Street DONALD 3480 VIC",-36.3708004,142.9774862
"69",68,"Regents Garden Residential Aged Care Resort - Lake Joondalup","33 DROVERS Place  ","WANNEROO",6065,"WA","+610406564446","NaN","True","True","False","True","False","False","False","33 DROVERS Place WANNEROO 6065 WA",-31.7186291,115.7774533
"70",69,"St Mary's Aged Care - Coolum Beach","17 Magenta Drive  ","COOLUM BEACH",4573,"QLD","+610754465096","http://www.stmarysagedcare.com.au","False","True","False","False","False","False","False","17 Magenta Drive COOLUM BEACH 4573 QLD",-26.5388488,153.0797595
"71",70,"Seaforth Gardens Senior Citizens' Residence","2542 Albany Highway  ","GOSNELLS",6110,"WA","+610893982116","NaN","False","False","False","False","False","False","False","2542 Albany Highway GOSNELLS 6110 WA",-32.0947941,116.0135915
"72",71,"Hunter New England LHD - Bingara Multi-Purpose Service","8 COPETON DAM Road  ","BINGARA",2404,"NSW","+610267280100","http://www.hnehealth.nsw.gov.au/","False","False","False","False","False","False","False","8 COPETON DAM Road BINGARA 2404 NSW",-29.864552,150.5790231
"73",72,"Vasey RSL Care, Bundoora","5-7 TOWER Avenue  ","BUNDOORA",3083,"VIC","+610394669615","http://www.vaseyrslcare.org.au/care-options/residential-care-facilities/vasey-house/","False","False","False","False","False","False","False","5-7 TOWER Avenue BUNDOORA 3083 VIC",-37.7028324,145.0546767
"74",73,"Yarraman Nursing Home","22B YARRAMAN Road  ","NOBLE PARK",3174,"VIC","+610392651784","NaN","True","True","False","False","False","False","False","22B YARRAMAN Road NOBLE PARK 3174 VIC",-37.977533,145.180648
"75",74,"Harbourside Haven Nursing Home and Hostel","89 SHOAL BAY Road  ","SHOAL BAY",2315,"NSW","+610249164264","www.harboursidehaven.com.au","False","False","False","False","False","False","False","89 SHOAL BAY Road SHOAL BAY 2315 NSW",-32.7183045,152.1684222
"76",75,"Balranald Multi-Purpose Service","41-43 COURT Street  ","BALRANALD",2715,"NSW","+610350719800","http://www.fwlhn.health.nsw.gov.au/index.php","False","False","False","False","False","False","False","41-43 COURT Street BALRANALD 2715 NSW",-34.645108,143.569428
"77",76,"Bupa Berwick","359 NARRE WARREN NORTH Road  ","NARRE WARREN NORTH",3804,"VIC","+610397969677","http://www.bupaagedcare.com.au/aged-care-homes/bupa-berwick","False","False","False","False","False","False","False","359 NARRE WARREN NORTH Road NARRE WARREN NORTH 3804 VIC",-37.9943981,145.3123619
"78",77,"Royal Freemasons Coppin Centre","45 MOUBRAY Street  ","MELBOURNE",3004,"VIC","+611300176925","http://www.royalfreemasons.org.au","False","True","False","False","False","True","False","45 MOUBRAY Street MELBOURNE 3004 VIC",-37.8476827,144.9837372
"79",78,"Bupa Eden","22 BARCLAY Street  ","EDEN",2551,"NSW","+610264961422","http://www.bupaagedcare.com.au/aged-care-homes/bupa-eden","False","True","False","False","False","False","False","22 BARCLAY Street EDEN 2551 NSW",-37.0571554,149.9081428
"80",79,"MiCare - Avondrust Lodge","1105 Frankston Dandenong Road  ","CARRUM DOWNS",3201,"VIC","+610397826633","http://www.micare.com.au","True","True","False","True","False","True","False","1105 Frankston Dandenong Road CARRUM DOWNS 3201 VIC",-38.0895039,145.1821248
"81",80,"Albury & District Private Nursing Home","636 LOGAN Road  ","GLENROY",2640,"NSW","+610260571500","http://www.acsagroup.com.au","False","False","False","False","False","False","False","636 LOGAN Road GLENROY 2640 NSW",-36.055281,146.91531
"82",81,"Regis Milpara Lodge","220 Middleborough Road  ","BLACKBURN SOUTH",3130,"VIC","+611300998100","http://www.regis.com.au/residence/regis-milpara-lodge/","False","False","False","False","False","False","False","220 Middleborough Road BLACKBURN SOUTH 3130 VIC",-37.8369636,145.1355337
"83",82,"Sherbrooke Nursing Home","18 TARANA Avenue  ","UPPER FERNTREE GULLY",3156,"VIC","+6197589911","http://www.menarocklife.com.au","False","False","False","False","False","False","False","18 TARANA Avenue UPPER FERNTREE GULLY 3156 VIC",-37.8973494,145.2983013
"84",83,"Strathearn House","75 Gundy Road  ","SCONE",2337,"NSW","+610265451255","http://strathearn.org.au","False","False","False","False","False","False","False","75 Gundy Road SCONE 2337 NSW",-32.0570844,150.877549
"85",84,"RFBI Hawkins Masonic Village - Grevillea House","20 NORTHVILLE Drive  ","EDGEWORTH",2285,"NSW","+610249463212","http://www.rfbi.com.au","False","False","False","False","False","False","False","20 NORTHVILLE Drive EDGEWORTH 2285 NSW",-32.9255803,151.604632
"86",85,"Thomas Holt Kirrawee","1-25 Acacia Road  North","KIRRAWEE",2232,"NSW","+610428892796","http://www.thomasholt.org.au","False","False","False","False","False","False","False","1-25 Acacia Road NorthKIRRAWEE 2232 NSW",-34.0214176,151.0678777
"87",86,"Cooinda Hostel","100 Cassilis Street  ","COONABARABRAN",2357,"NSW","+610268420888","www.cooindacoona.com.au","False","False","False","False","False","False","False","100 Cassilis Street COONABARABRAN 2357 NSW",-31.274086,149.286025
"88",87,"Castledare Village","108 Fern Road  ","WILSON",6107,"WA","+610893564100","http://www.catholichomes.com","True","True","True","True","True","True","True","108 Fern Road WILSON 6107 WA",-32.0226388,115.913388
"89",88,"Southern Cross Care St Lawrence","6 SWIFT Street  ","HARDEN",2587,"NSW","+611800632314","NaN","False","False","False","False","False","False","False","6 SWIFT Street HARDEN 2587 NSW",-34.5572545,148.3674601
"90",89,"Catholic Healthcare Emmaus Village","85 Bakers Lane  ","KEMPS CREEK",2178,"NSW","+611800225474","http://www.catholichealthcare.com.au/en/residence/emmaus-village/","False","False","False","False","False","False","False","85 Bakers Lane KEMPS CREEK 2178 NSW",-33.8274242,150.7931158
"91",90,"People Care Pty Ltd Hibiscus House","62 Lawrence Drive  ","NERANG",4211,"QLD","+610755571444","http://earlehavenretirement.com.au","False","False","False","False","False","False","False","62 Lawrence Drive NERANG 4211 QLD",-27.9954188,153.3462186
"92",91,"Uniting Caroona Marima Goonellabah","65-101 Rous Road  ","GOONELLABAH",2480,"NSW","+611800864846","https://uniting.org/our-services/services/uniting-aged-care-home/uniting-caroona-marima-goonellabah","True","True","False","False","False","False","True","65-101 Rous Road GOONELLABAH 2480 NSW",-28.8256405,153.3203039
"93",92,"Churches of Christ Care Fairhaven Aged Care Service Hervey Bay","130 Pantlins Lane  ","URRAWEEN",4655,"QLD","+610741248955","http://careagedcare.com.au/about-us/nursinghomehostel/farihavenherveybay/","True","True","False","False","False","False","False","130 Pantlins Lane URRAWEEN 4655 QLD",-25.2941436,152.8135764
"94",93,"Freshwater Bay Nursing Home","67 PALMERSTON Street  ","MOSMAN PARK",6012,"WA","+610893845280","https://www.hallprior.com.au/nursing-homes/western-australia/mosman-park/freshwater-bay/","True","True","True","True","True","True","True","67 PALMERSTON Street MOSMAN PARK 6012 WA",-32.0112143,115.7668281
"95",94,"Craigcare Maylands","6 Third Avenue  East","MAYLANDS",6051,"WA","+610862785000","http://www.craigcare.com.au/services-facilities/residential-care-wa/maylands/","True","True","True","True","False","False","False","6 Third Avenue EastMAYLANDS 6051 WA",-31.9342677,115.8869361
"96",95,"Anglican Care McIntosh Court"," Toronto Road  ","BOORAGUL",2284,"NSW","+610249580000","http://www.anglicancare.com.au","True","True","True","True","True","True","True"," Toronto Road BOORAGUL 2284 NSW",-32.976238,151.6058346
"97",96,"Avoca Hostel","10 TEMPLETON Street  ","AVOCA",3467,"VIC","+610354610483","http://ww.mdhs.vic.gov.au","True","False","False","False","False","False","False","10 TEMPLETON Street AVOCA 3467 VIC",-37.0922005,143.4678593
"98",97,"Daylesford Nursing Home","13 HOSPITAL Street  ","DAYLESFORD",3460,"VIC","+610353216521","http://www.hhs.vic.gov.au","False","False","False","False","False","False","False","13 HOSPITAL Street DAYLESFORD 3460 VIC",-37.3374196,144.1465291
"99",98,"McLellan House Hostel","2 ROBINSON Street  ","JACANA",3047,"VIC","+610393024002","NaN","False","False","False","False","False","False","False","2 ROBINSON Street JACANA 3047 VIC",-37.6858199,144.9126564
"100",99,"Calvary Cooinda Retirement Community","42 Bathurst Street  ","SINGLETON",2330,"NSW","+610265721537","www.calvarycare.org.au","False","False","False","False","False","False","False","42 Bathurst Street SINGLETON 2330 NSW",-32.570259,151.169037
"101",100,"RSL Care Rockhampton - Sunset Ridge Retirement Community","44 Svendsen Road  ","ZILZIE",4710,"QLD","+610749254000","http://www.rslcare.com.au/sunset-ridge","False","False","False","False","False","False","False","44 Svendsen Road ZILZIE 4710 QLD",-23.2733057,150.8139431
"102",101,"Navorina Nursing Home","5-9 Macauley Street  ","DENILIQUIN",2710,"NSW","+610358813944","http://www.navorina.com.au","True","True","True","True","False","False","False","5-9 Macauley Street DENILIQUIN 2710 NSW",-35.5230433,144.9624247
"103",102,"Brightwater - Oxford Gardens Care Facility","30 REGENTS PARK Road  ","JOONDALUP",6027,"WA","+611300223968","http://www.brightwatergroup.com","False","False","False","False","False","False","False","30 REGENTS PARK Road JOONDALUP 6027 WA",-31.73626,115.77171
"104",103,"Catholic Healthcare St Marys Retirement Village","211 Northcliffe Drive  ","BERKELEY",2506,"NSW","+611800225474","http://www.catholichealthcare.com.au","False","False","False","False","False","False","False","211 Northcliffe Drive BERKELEY 2506 NSW",-34.4832389,150.8437184
"105",104,"Brighton Aged Care","580 BRIGHTON Road  ","SOUTH BRIGHTON",5048,"SA","+610882968950","http://www.acsagroup.com.au","False","False","False","False","False","False","False","580 BRIGHTON Road SOUTH BRIGHTON 5048 SA",-35.0281572,138.5245478
"106",105,"Melrose Cottage Settlement (UPA)","157 Bungaree Road  ","PENDLE HILL",2145,"NSW","+610281979300","http://www.upa.org.au","False","False","False","False","False","False","False","157 Bungaree Road PENDLE HILL 2145 NSW",-33.8004541,150.9603339
"107",106,"Garden City Aged Care Services","33 TRYON Street  ","UPPER MOUNT GRAVATT",4122,"QLD","+610733490110","http://www.alzheimersonline.org","True","True","False","True","False","False","False","33 TRYON Street UPPER MOUNT GRAVATT 4122 QLD",-27.5599651,153.0852993
"108",107,"Millmerran Centenary Retirement Village","34-40 Margaret Street  ","MILLMERRAN",4357,"QLD","+610746951580","http://yallambeemillmerran.com","False","False","False","False","False","False","False","34-40 Margaret Street MILLMERRAN 4357 QLD",-27.8767822,151.2729961
"109",108,"Southern Cross Care Orana","59 Napier Street  ","DENILIQUIN",2710,"NSW","+611800632314","NaN","True","False","False","False","False","False","False","59 Napier Street DENILIQUIN 2710 NSW",-35.5296911,144.9607788
"110",109,"Bethanie Waters","18 Olivenza Crescent  ","PORT KENNEDY",6172,"WA","+61131151","http://www.bethanie.info","True","True","True","True","False","False","False","18 Olivenza Crescent PORT KENNEDY 6172 WA",-32.3569199,115.7697953
