"id","OUTLET_NAME","address","STREET_STATE","STREET_PCODE","STREET_SUBURB","OPEN_HOUR","CLOSE_HOUR","WEEKENDS","EVENINGS","dementia","reable","respite","terminal","mental_health","WEBSITE","MAIN_EMAIL","MAIN_PHONE","PUB_HOLIDAYS","DESCRIPTION","RELIGION"
11,"Carealot Home Health Services","666 STIRLING Highway, MOSMAN PARK, 6012, WA","WA",6012,"MOSMAN PARK","06:00","20:00","TRUE","TRUE","dementia","reablement","respite","terminal","mental","http://www.carealot.com.au","b.macleod@carealot.com.au","+610892847562","TRUE","We understand that every client and family has unique care needs. Individual services are available or multiple services can be combined depending on needs.  We have been providing consumer directed care services since 1996 and well qualified, experienced and have the capacity to continue as a Approved Provider.  Further to this we are a contracted provider for the Department of Veteran Affairs to deliver Clinical Nursing and Home Care to eligible veterans; we support carers in the South West Region through our South West Rural Respite Services (CHSP) and engaged to deliver appropriate services through the NDIS.","Anglican, Baptist, Buddhism, Catholic, Churches of Christ, Eastern Orthodox, Hinduism, Jehovah's Witnesses, Judaism, Latter-day Saints, Lutheran, Oriental Orthodox, Other Christian, Other Protestant, Pentecostal, Presbyterian and Reformed, Salvation Army, Uniting Church"
12,"Resthaven Community Services Western","96 WOODVILLE Road, WOODVILLE, 5011, SA","SA",5011,"WOODVILLE","08:00","18:00","TRUE","TRUE","dementia","reablement","respite","terminal","mental","http://www.resthaven.asn.au/living-at-home/home-care-overview/","westerncs@resthaven.asn.au","+610883450577","TRUE","When you choose Resthaven, we work with you to meet your needs and goals as you get older.

Resthaven, a trusted SA aged care provider since 1935, provides in home tailored services, chosen by you to suit your needs. You design services and how your individual budget is used. We support family carers; listening to their views. Your package may include, but is not limited to, personal care, nursing, social support, domestic and shopping assistance, home maintenance, and transport. Resthaven responds to your diverse lifestyle needs: many of our customers are of culturally diverse backgrounds.

Western Community Services provide home care, wellbeing services and centre based and in-home carer respite. We employ friendly local workers, trained in home care, clinical care and working with people with dementia. Our customers say our workers are our best asset.

For more information, call 1300 13 66 33 or visit www.resthaven.asn.au","Aboriginal Evang. Missions, Agnosticism, Albanian Orthodox, Ancestor Veneration, Ancient Church of the East, Anglican, Anglican Catholic Church, Anglican Church of Australia, Animism, Antiochian Orthodox, Apostolic Church (Australia), Apostolic Church of Queensland, Armenian Apostolic, Assemblies of God, Assyrian Apostolic, Assyrian Church of the East, Atheism, Aust. Aboriginal Trad. Religs., Baha'i, Baptist, Bethesda Churches, Born Again Christian, Brethren, Buddhism, Caodaism, Catholic, Chaldean Catholic, Chinese Religions, Christadelphians, Christian, Christian & Missionary Allnce., Christian City Church, Christian Life Churches Int’l, Christian Outreach Centres, Christian Revival Crusade, Christian Science, Church of Christ (Non-denom.), Church of Jesus Christ of LDS, Church of Scientology, Church of the Nazarene, Churches of Christ, Churches of Christ (Conf.), Community of Christ, Confucianism, Congregational, Coptic Orthodox Church, Druidism, Druse, Eastern Orthodox, Eckankar, Ethiopian Orthodox Church, Ethnic Evangelical Churches, Faith Churches, Foursquare Gospel Church, Free Reformed, Full Gospel Church, Gnostic Christians, Greek Orthodox, Hinduism, Humanism, Independent Evang. Churches, International Church of Christ, Islam, Jainism, Japanese Religions, Jehovah's Witnesses, Judaism, Latter-day Saints, Liberal Catholic Church, Lutheran, Macedonian Orthodox, Maronite Catholic, Melkite Catholic, Nature Religions, New Apostolic Church, New Churches (Swedenborgian), No religion, Oriental Orthodox, Other Christian, Other Protestant, Paganism, Pantheism, Pentecostal, Presbyterian, Presbyterian and Reformed, Rastafarianism, Ratana (Maori), Rationalism, Reformed, Religious Science, Religious Society of Friends, Revival Centres, Rhema Family Church, Romanian Orthodox, Russian Orthodox, Salvation Army, Satanism, Serbian Orthodox, Seventh-day Adventist, Shinto, Sikhism, Spiritualism, Sukyo Mahikari, Syrian Orthodox Church, Taoism, Temple Society, Tenrikyo, Theosophy, Ukrainian Catholic, Ukrainian Orthodox, Unitarian, United Pentecostal, Uniting Church, Wesleyan Methodist Church, Western Catholic, Wiccan/Witchcraft, Worldwide Church of God, Zoroastrianism"
13,"Ozcare Ipswich","2 JOFFRE Street, BOOVAL, 4304, QLD","QLD",4304,"BOOVAL","06:00","18:00","TRUE","TRUE","dementia","reablement","respite","terminal","mental","https://www.ozcare.org.au/aged-care/home-care/","admin.ipswich@ozcare.org.au","+611800692273","TRUE","Ozcare’s home care services are designed to help you live in your own home for longer. We create a personalised care plan together with you and your family and provide consistent carers to make sure you see familiar faces at each of your appointments. We are proud to offer specialist dementia support through all stages for people living with dementia, their carers, and families.



With 20 years’ experience in aged care, our team of carers, nurses, dementia specialists, occupational therapists and other allied health professionals offer a complete suite of services in the comfort of your own home.","Agnosticism, Catholic, Other Christian, Other Protestant"
14,"Presbyterian Aged Care Illawarra Home Care","9b Kembla Street, NORTH WOLLONGONG, 2500, NSW","NSW",2500,"NORTH WOLLONGONG","06:00","20:30","TRUE","TRUE","dementia","reablement","respite","FALSE","FALSE","http://www.pacnsw.org.au","caresupport@pcnsw.org.au","+611800722679","TRUE","Our Care Packages are designed in consultation with You. PAC has over 75 years experience in Aged Care and we will ensure you get the best out of your Package","Other Christian, Other Protestant, Presbyterian, Presbyterian and Reformed"
15,"Multicultural Aged Care","532-536 CANTERBURY Road, CAMPSIE, 2194, NSW","NSW",2194,"CAMPSIE","09:00","18:00","TRUE","TRUE","dementia","reablement","respite","terminal","mental","http://multiculturalcare.com.au","ceo@mc.org.au","+610297186199","TRUE","Our Multicultural Aged Care home care packages are tailored to team up each client with carefully selected staff based on cultural and linguistic needs and capabilities. Our team is industry regarded for its language and culturally aware caring and professional approach; all staff are highly trained to meet and understand each client’s goals and care needs as well as engaging with their carers.

We strive to provide the right language specific support services to ensure our clients maintain a healthy, safe and happy independent life. We align language specific case managers and frontline staff members to match that of the clients.

Several service options and care resources are available and can be tailored to meet each client’s cultural needs and capacity. All are designed/tailored to provide cultural and language specific care that exceed expectations while incorporating MAC’s key values of inclusiveness, customer focus and innovation, accountability and integrity.","Anglican, Baptist, Buddhism, Catholic, Eastern Orthodox, Hinduism, Islam, Oriental Orthodox, Other Protestant, Presbyterian and Reformed, Uniting Church"
16,"Presbyterian Aged Care South West Sydney Home Care","109 BOWRAL Street, BOWRAL, 2576, NSW","NSW",2576,"BOWRAL","06:00","20:30","TRUE","TRUE","dementia","reablement","respite","FALSE","FALSE","http://www.pacnsw.org.au","caresupport@pcnsw.org.au","+611800722679","TRUE","Our Care Packages are designed in consultation with You. PAC has over 75 years experience in Aged Care and we will ensure you get the best out of your Package","Other Christian, Other Protestant, Presbyterian, Presbyterian and Reformed"
17,"Avivo Live Life Inc Coral Coast","114 SANFORD Street, GERALDTON, 6530, WA","WA",6530,"GERALDTON","06:00","20:30","TRUE","TRUE","dementia","reablement","respite","terminal","mental","http://www.avivo.org.au","myagedcarereferralscoralcoast@avivo.org.au","+611300428486","TRUE","Living at home means you have independence. It is a place that is familiar, safe and connects you to the community. At Avivo, we work with you to provide the supports you want to keep you living independently at home and in your community.

We can help you with personal care, cooking, shopping and social support or managing your domestic tasks. 

Together we will develop a support plan that you own and control. We will help match you with staff who have shared interests and views and we will engage with other service providers to find the best way to support you . We would love the chance to have a chat with you and see what we can work out together.



We operate throughout the greater metropolitan area and in the Wheatbelt and Midwest.



Contact us on 1300 428 486 or email: myagedcarereferralseast@avivo.org.au 

If you would like more information, please visit avivo.org.au","Anglican, Baptist, Buddhism, Catholic, Churches of Christ, Eastern Orthodox, Hinduism, Islam, Jehovah's Witnesses, Judaism, Latter-day Saints, Lutheran, Oriental Orthodox, Other Christian, Other Protestant, Pentecostal, Presbyterian and Reformed, Salvation Army, Seventh-day Adventist, Uniting Church"
18,"CASS Home Care Package Chinese Indonesian Vietnamese Southern Sydney","44-50 Sixth Avenue, CAMPSIE, 2194, NSW","NSW",2194,"CAMPSIE","08:00","18:00","TRUE","TRUE","dementia","reablement","FALSE","terminal","FALSE","http://www.cass.org.au","kenny_lau@cass.org.au","+610297894587","TRUE","Providing a range of services and support, across levels 1 through to 4, catering for basic through to complex care needs of older people who wish to live at home safely and respectfully, including people with dementia. The service may include and/or link client to home help, home maintenance, advocacy, emotional support, social activities, emergency assistance, nursing services and assistance with daily living activities and meal preparation.



Eligibility: Elderly people aged 65 or over from East Asian background, especially Chinese, Indonesian and Vietnamese speaking seniors who require levels 1 through to 4 of Home Care Package (HCP) / people with dementia; Has a preference to remain living at home; Approved by the Aged Care Assessment Team (ACAT) for HCP services",""
19,"IAC HOME CARE","33 Kent Road, MARANGAROO, 6064, WA","WA",6064,"MARANGAROO","06:00","20:30","TRUE","TRUE","dementia","reablement","respite","terminal","FALSE","http://www.iaci.com.au","homecare@iaci.com.au","+610892470888","TRUE","","Catholic"
20,"Right at Home RightCare","Level 1, 101 ANNERLEY Road, WOOLLOONGABBA, 4102, QLD","QLD",4102,"WOOLLOONGABBA","05:00","20:30","TRUE","TRUE","dementia","reablement","respite","terminal","mental","https://www.rightathome.com.au","rightcare@rightathome.com.au","+611300363802","TRUE","Right at Home is a full service care company offering domestic and personal support as well as nursing services.  Our home care packages can support all your needs.  We offer 24/7 on-call support.  We improve the quality of your life by maintaining your independence and allowing you to stay in you own home longer by providing professional care that can change as your needs change. We provide continuity of service with an agreed team of carers to provide your care needs.

Some of our services include:

* Companion & Support Services - domestic assistance, transportation, meal preparation, shopping, laundry and respite services

* Personal Care - showering or bathing, dressing, grooming and mobility assistance, medication reminders

* Skilled Nursing - medication administration, continence and catheter care, wound dressings, PEG feeding, IV therapy","Agnosticism, Anglican, Baptist, Catholic, Islam, Other Christian, Other Protestant, Presbyterian and Reformed, Uniting Church"
21,"ACCA Chinese Home Care Packages Eastern Sydney","2 MARY Street, SURRY HILLS, 2010, NSW","NSW",2010,"SURRY HILLS","07:00","18:00","TRUE","TRUE","dementia","reablement","FALSE","FALSE","FALSE","","margaret.leung@acca.org.au","+610292811377","FALSE","",""
22,"ACCA Chinese Home Care Packages Northern Sydney","10 HELP Street, CHATSWOOD, 2067, NSW","NSW",2067,"CHATSWOOD","07:00","18:00","TRUE","TRUE","dementia","reablement","respite","FALSE","FALSE","","amy.chan@acca.org.au","+610294123488","FALSE","",""
